,tavg,tmin,tmax,zip,date,park
Chase Field2010-03-01T00:00:00,17.1,10.7,23.6,85004,2010-03-01T00:00:00,Chase Field
Chase Field2010-03-02T00:00:00,17.2,10.7,23.7,85004,2010-03-02T00:00:00,Chase Field
Chase Field2010-03-03T00:00:00,17.3,10.8,23.9,85004,2010-03-03T00:00:00,Chase Field
Chase Field2010-03-04T00:00:00,17.4,10.9,24.0,85004,2010-03-04T00:00:00,Chase Field
Chase Field2010-03-05T00:00:00,17.6,11.0,24.2,85004,2010-03-05T00:00:00,Chase Field
Chase Field2010-03-06T00:00:00,17.7,11.1,24.3,85004,2010-03-06T00:00:00,Chase Field
Chase Field2010-03-07T00:00:00,17.8,11.2,24.4,85004,2010-03-07T00:00:00,Chase Field
Chase Field2010-03-08T00:00:00,17.9,11.3,24.6,85004,2010-03-08T00:00:00,Chase Field
Chase Field2010-03-09T00:00:00,18.0,11.3,24.7,85004,2010-03-09T00:00:00,Chase Field
Chase Field2010-03-10T00:00:00,18.1,11.4,24.8,85004,2010-03-10T00:00:00,Chase Field
Chase Field2010-03-11T00:00:00,18.2,11.5,25.0,85004,2010-03-11T00:00:00,Chase Field
Chase Field2010-03-12T00:00:00,18.3,11.6,25.1,85004,2010-03-12T00:00:00,Chase Field
Chase Field2010-03-13T00:00:00,18.4,11.7,25.3,85004,2010-03-13T00:00:00,Chase Field
Chase Field2010-03-14T00:00:00,18.6,11.8,25.4,85004,2010-03-14T00:00:00,Chase Field
Chase Field2010-03-15T00:00:00,18.7,11.8,25.6,85004,2010-03-15T00:00:00,Chase Field
Chase Field2010-03-16T00:00:00,18.8,11.9,25.7,85004,2010-03-16T00:00:00,Chase Field
Chase Field2010-03-17T00:00:00,18.9,12.0,25.8,85004,2010-03-17T00:00:00,Chase Field
Chase Field2010-03-18T00:00:00,19.0,12.1,25.9,85004,2010-03-18T00:00:00,Chase Field
Chase Field2010-03-19T00:00:00,19.1,12.2,26.1,85004,2010-03-19T00:00:00,Chase Field
Chase Field2010-03-20T00:00:00,19.2,12.3,26.2,85004,2010-03-20T00:00:00,Chase Field
Chase Field2010-03-21T00:00:00,19.3,12.3,26.4,85004,2010-03-21T00:00:00,Chase Field
Chase Field2010-03-22T00:00:00,19.4,12.4,26.5,85004,2010-03-22T00:00:00,Chase Field
Chase Field2010-03-23T00:00:00,19.6,12.5,26.6,85004,2010-03-23T00:00:00,Chase Field
Chase Field2010-03-24T00:00:00,19.7,12.6,26.8,85004,2010-03-24T00:00:00,Chase Field
Chase Field2010-03-25T00:00:00,19.8,12.7,26.9,85004,2010-03-25T00:00:00,Chase Field
Chase Field2010-03-26T00:00:00,19.9,12.8,27.1,85004,2010-03-26T00:00:00,Chase Field
Chase Field2010-03-27T00:00:00,20.1,12.9,27.2,85004,2010-03-27T00:00:00,Chase Field
Chase Field2010-03-28T00:00:00,20.2,13.0,27.3,85004,2010-03-28T00:00:00,Chase Field
Chase Field2010-03-29T00:00:00,20.3,13.1,27.4,85004,2010-03-29T00:00:00,Chase Field
Chase Field2010-03-30T00:00:00,20.4,13.2,27.6,85004,2010-03-30T00:00:00,Chase Field
Chase Field2010-03-31T00:00:00,20.6,13.3,27.7,85004,2010-03-31T00:00:00,Chase Field
Chase Field2010-04-01T00:00:00,20.7,13.5,27.8,85004,2010-04-01T00:00:00,Chase Field
Chase Field2010-04-02T00:00:00,20.8,13.6,28.0,85004,2010-04-02T00:00:00,Chase Field
Chase Field2010-04-03T00:00:00,20.9,13.7,28.1,85004,2010-04-03T00:00:00,Chase Field
Chase Field2010-04-04T00:00:00,21.1,13.8,28.3,85004,2010-04-04T00:00:00,Chase Field
Chase Field2010-04-05T00:00:00,21.2,14.0,28.4,85004,2010-04-05T00:00:00,Chase Field
Chase Field2010-04-06T00:00:00,21.3,14.1,28.6,85004,2010-04-06T00:00:00,Chase Field
Chase Field2010-04-07T00:00:00,21.5,14.3,28.7,85004,2010-04-07T00:00:00,Chase Field
Chase Field2010-04-08T00:00:00,21.6,14.4,28.8,85004,2010-04-08T00:00:00,Chase Field
Chase Field2010-04-09T00:00:00,21.8,14.6,29.0,85004,2010-04-09T00:00:00,Chase Field
Chase Field2010-04-10T00:00:00,21.9,14.7,29.1,85004,2010-04-10T00:00:00,Chase Field
Chase Field2010-04-11T00:00:00,22.1,14.9,29.3,85004,2010-04-11T00:00:00,Chase Field
Chase Field2010-04-12T00:00:00,22.2,15.0,29.4,85004,2010-04-12T00:00:00,Chase Field
Chase Field2010-04-13T00:00:00,22.4,15.2,29.6,85004,2010-04-13T00:00:00,Chase Field
Chase Field2010-04-14T00:00:00,22.5,15.3,29.7,85004,2010-04-14T00:00:00,Chase Field
Chase Field2010-04-15T00:00:00,22.7,15.5,29.8,85004,2010-04-15T00:00:00,Chase Field
Chase Field2010-04-16T00:00:00,22.8,15.7,30.0,85004,2010-04-16T00:00:00,Chase Field
Chase Field2010-04-17T00:00:00,23.0,15.8,30.1,85004,2010-04-17T00:00:00,Chase Field
Chase Field2010-04-18T00:00:00,23.2,16.0,30.3,85004,2010-04-18T00:00:00,Chase Field
Chase Field2010-04-19T00:00:00,23.3,16.2,30.4,85004,2010-04-19T00:00:00,Chase Field
Chase Field2010-04-20T00:00:00,23.5,16.4,30.6,85004,2010-04-20T00:00:00,Chase Field
Chase Field2010-04-21T00:00:00,23.7,16.6,30.7,85004,2010-04-21T00:00:00,Chase Field
Chase Field2010-04-22T00:00:00,23.8,16.7,30.9,85004,2010-04-22T00:00:00,Chase Field
Chase Field2010-04-23T00:00:00,23.9,16.9,31.1,85004,2010-04-23T00:00:00,Chase Field
Chase Field2010-04-24T00:00:00,24.1,17.1,31.2,85004,2010-04-24T00:00:00,Chase Field
Chase Field2010-04-25T00:00:00,24.3,17.2,31.3,85004,2010-04-25T00:00:00,Chase Field
Chase Field2010-04-26T00:00:00,24.4,17.4,31.5,85004,2010-04-26T00:00:00,Chase Field
Chase Field2010-04-27T00:00:00,24.6,17.6,31.7,85004,2010-04-27T00:00:00,Chase Field
Chase Field2010-04-28T00:00:00,24.8,17.8,31.8,85004,2010-04-28T00:00:00,Chase Field
Chase Field2010-04-29T00:00:00,24.9,17.9,32.0,85004,2010-04-29T00:00:00,Chase Field
Chase Field2010-04-30T00:00:00,25.1,18.1,32.2,85004,2010-04-30T00:00:00,Chase Field
Chase Field2010-05-01T00:00:00,25.3,18.3,32.3,85004,2010-05-01T00:00:00,Chase Field
